flight_no,flight_date,phase,egt_actual,egt_limit,egt_margin,ff_flow
CA1234,2026-04-15,TAKEOFF,652.3,690.0,37.7,1250
CA1234,2026-04-15,CLIMB,680.5,710.0,29.5,1420
CA1234,2026-04-15,CRUISE,610.2,680.0,69.8,980
CA1234,2026-04-15,DESCENT,550.1,650.0,99.9,650
CA1234,2026-04-15,LANDING,580.6,670.0,89.4,720
CA1235,2026-04-15,TAKEOFF,665.8,690.0,24.2,1280
CA1235,2026-04-15,CLIMB,695.2,710.0,14.8,1450
CA1235,2026-04-15,CRUISE,622.5,680.0,57.5,1010
CA1235,2026-04-15,DESCENT,558.3,650.0,91.7,670
CA1235,2026-04-15,LANDING,592.1,670.0,77.9,740
CA1236,2026-04-16,TAKEOFF,672.5,690.0,17.5,1300
CA1236,2026-04-16,CLIMB,701.3,710.0,8.7,1480
CA1236,2026-04-16,CRUISE,635.8,680.0,44.2,1050
CA1236,2026-04-16,DESCENT,565.4,650.0,84.6,690
CA1236,2026-04-16,LANDING,598.7,670.0,71.3,760
