flight_no,flight_date,phase,fan_vibration,turbine_vibration,n1_speed,n2_speed,oil_temp,oil_pressure
CA1234,2026-04-15,TAKEOFF,2.1,1.5,85.2,95.1,72.3,85.2
CA1234,2026-04-15,CLIMB,2.3,1.8,92.5,98.3,78.6,82.1
CA1234,2026-04-15,CRUISE,1.9,1.4,95.3,99.1,80.2,80.5
CA1234,2026-04-15,DESCENT,1.6,1.2,70.1,85.3,75.4,78.3
CA1234,2026-04-15,LANDING,1.8,1.3,65.4,80.2,73.1,76.8
CA1235,2026-04-15,TAKEOFF,2.5,2.0,86.1,95.8,73.5,84.9
CA1235,2026-04-15,CLIMB,2.6,2.1,93.2,98.5,79.8,81.7
CA1235,2026-04-15,CRUISE,2.2,1.7,95.8,99.3,81.5,80.1
CA1235,2026-04-15,DESCENT,1.9,1.5,71.2,86.1,76.3,77.9
CA1235,2026-04-15,LANDING,2.0,1.6,66.8,81.3,74.2,76.2
CA1236,2026-04-16,TAKEOFF,2.8,2.3,86.8,96.2,74.1,84.5
CA1236,2026-04-16,CLIMB,3.0,2.5,93.8,98.8,80.5,81.2
CA1236,2026-04-16,CRUISE,2.6,2.0,96.1,99.5,82.3,79.8
CA1236,2026-04-16,DESCENT,2.2,1.7,72.5,87.2,77.1,77.5
CA1236,2026-04-16,LANDING,2.4,1.8,67.9,82.1,75.3,75.8
